date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,30.969565217391303,20.33913043478261,288.60869565217394,5.482608695652174,3.78695652173913,57.34782608695652,0.361304347826087,0.0,1.6565217391304348,,
2022-08-05,33.520833333333336,22.72083333333333,345.4583333333333,5.9125000000000005,4.770833333333333,62.5,0.34625,0.375,1.375,64.82608695652173,38.43478260869565
2022-08-06,30.21666666666667,20.395833333333332,338.0,7.2375,4.191666666666666,52.875,0.29041666666666666,0.125,0.9375,72.70833333333333,50.833333333333336
2022-08-07,34.77916666666666,23.616666666666664,388.9583333333333,8.091666666666667,3.6666666666666665,53.625,0.34,0.20833333333333334,1.2874999999999999,73.625,52.333333333333336
2022-08-08,35.175000000000004,24.0625,408.2083333333333,8.441666666666666,4.3374999999999995,51.0,0.3666666666666667,0.25,1.14375,75.0,54.541666666666664
2022-08-09,29.4875,20.1125,357.9166666666667,7.733333333333333,3.6208333333333336,49.375,0.3333333333333333,0.375,1.1,70.375,46.25
2022-08-10,27.445833333333336,18.7375,322.5416666666667,6.854166666666667,3.4916666666666667,47.916666666666664,0.29833333333333334,0.125,0.9104166666666668,65.16666666666667,38.208333333333336
2022-08-11,34.725,23.787499999999998,400.9166666666667,8.495833333333334,3.4333333333333336,49.875,0.2708333333333333,0.125,0.6770833333333334,66.20833333333333,40.25
2022-08-12,36.824999999999996,25.241666666666664,540.9166666666666,13.104166666666666,4.054166666666666,49.916666666666664,0.37333333333333335,0.08333333333333333,0.6770833333333334,78.66666666666667,59.416666666666664
2022-08-13,35.57083333333333,24.320833333333336,596.9166666666666,15.762500000000001,3.6,41.416666666666664,0.4141666666666666,0.20833333333333334,0.6916666666666665,81.66666666666667,61.416666666666664
