date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,year,month,month_name,day,season,aqi_category
2022-08-25,41.2625,28.1,500.9166666666667,13.870833333333332,4.333333333333333,43.125,0.6720833333333333,0.3333333333333333,0.6395833333333333,83.29166666666667,62.25,2022,8,August,Thursday,Rainy / Wet,Moderate
2022-08-26,26.72083333333333,18.029166666666665,371.0833333333333,9.179166666666667,2.7375000000000003,43.41666666666666,0.365,0.0833333333333333,1.0083333333333333,77.33333333333333,56.5,2022,8,August,Friday,Rainy / Wet,Moderate
2022-08-27,26.383333333333336,17.329166666666666,408.75,10.754166666666668,2.520833333333333,41.833333333333336,0.2979166666666666,0.0,0.8395833333333332,60.208333333333336,33.583333333333336,2022,8,August,Saturday,Rainy / Wet,Moderate
2022-08-28,46.97083333333333,31.754166666666663,629.875,15.333333333333334,4.370833333333334,47.54166666666666,0.6320833333333333,0.0,1.14375,79.0,56.125,2022,8,August,Sunday,Rainy / Wet,Moderate
2022-08-29,40.9375,28.391666666666666,637.9583333333334,15.754166666666668,4.129166666666666,45.75,0.5195833333333334,0.0,1.2875,90.58333333333331,64.875,2022,8,August,Monday,Rainy / Wet,Moderate
2022-08-30,27.42083333333333,18.425,439.9166666666667,9.9,3.0625,46.5,0.3358333333333334,0.0,1.0833333333333333,69.75,44.708333333333336,2022,8,August,Tuesday,Rainy / Wet,Moderate
2022-08-31,31.129166666666663,20.716666666666665,495.7916666666667,12.3625,3.1208333333333336,49.0,0.3816666666666666,0.0833333333333333,1.0708333333333333,63.333333333333336,36.375,2022,8,August,Wednesday,Rainy / Wet,Moderate
2022-09-01,38.708333333333336,26.495833333333334,646.25,17.8,4.579166666666667,44.54166666666666,0.39125,0.0,1.0395833333333333,78.875,58.54166666666666,2022,9,September,Thursday,Rainy / Wet,Moderate
2022-09-02,56.55,39.15416666666667,660.875,15.55,4.175,50.25,0.4733333333333333,0.0,0.85,83.91666666666667,62.458333333333336,2022,9,September,Friday,Rainy / Wet,Moderate
2022-09-03,65.56666666666666,45.520833333333336,768.4583333333334,15.775,4.8500000000000005,52.79166666666666,0.4633333333333333,0.0,0.8729166666666667,139.0,81.0,2022,9,September,Saturday,Rainy / Wet,Unhealthy for Sensitive Groups
2022-09-04,24.454166666666666,16.866666666666667,473.3333333333333,12.508333333333333,3.270833333333333,43.583333333333336,0.2312499999999999,0.0,0.8562500000000001,81.625,54.125,2022,9,September,Sunday,Rainy / Wet,Moderate
2022-09-05,27.745833333333334,18.979166666666668,509.0833333333333,12.729166666666666,4.3,45.04166666666666,0.2304166666666667,0.0,1.4395833333333332,65.08333333333333,38.208333333333336,2022,9,September,Monday,Rainy / Wet,Moderate
2022-09-06,28.975,19.7625,512.4166666666666,13.125,4.15,43.125,0.25,0.0,1.04375,65.83333333333333,38.833333333333336,2022,9,September,Tuesday,Rainy / Wet,Moderate
2022-09-07,24.4625,16.916666666666668,477.2916666666667,11.504166666666668,3.8166666666666655,42.208333333333336,0.2333333333333333,0.0,0.7999999999999999,61.833333333333336,35.333333333333336,2022,9,September,Wednesday,Rainy / Wet,Moderate
2022-09-08,27.3125,18.808333333333334,483.0,11.825,3.9375,39.75,0.2458333333333333,0.0,0.7958333333333334,62.958333333333336,36.25,2022,9,September,Thursday,Rainy / Wet,Moderate
2022-09-09,27.72083333333333,18.804166666666667,498.0,12.358333333333334,3.525,47.0,0.2833333333333333,0.0,0.9666666666666668,62.375,35.75,2022,9,September,Friday,Rainy / Wet,Moderate
2022-09-10,30.575,21.075,584.2083333333334,14.6375,3.825,45.54166666666666,0.2695833333333333,0.0,1.13125,66.33333333333333,39.375,2022,9,September,Saturday,Rainy / Wet,Moderate
2022-09-11,37.11666666666667,25.48333333333333,623.5416666666666,13.145833333333334,5.816666666666666,52.375,0.32125,0.2083333333333333,0.7708333333333334,78.0,58.583333333333336,2022,9,September,Sunday,Rainy / Wet,Moderate
2022-09-12,30.3625,20.225,379.5,5.675,5.745833333333334,56.66666666666666,0.2433333333333333,0.0,1.2416666666666667,72.91666666666667,51.16666666666666,2022,9,September,Monday,Rainy / Wet,Moderate
2022-09-13,35.766666666666666,24.475,447.1666666666667,6.791666666666667,6.295833333333333,61.125,0.3429166666666667,0.0,1.4791666666666667,68.41666666666667,42.958333333333336,2022,9,September,Tuesday,Rainy / Wet,Moderate
2022-09-14,29.225,20.104166666666668,437.0,6.758333333333333,6.370833333333334,52.958333333333336,0.3108333333333333,1.0416666666666667,1.1,76.79166666666667,57.208333333333336,2022,9,September,Wednesday,Rainy / Wet,Moderate
2022-09-15,23.53333333333333,15.883333333333333,404.1666666666667,8.854166666666666,2.8083333333333336,40.91666666666666,0.1883333333333333,1.2083333333333333,0.9895833333333334,59.29166666666666,32.791666666666664,2022,9,September,Thursday,Rainy / Wet,Moderate
2022-09-16,30.27083333333333,20.554166666666667,533.5833333333334,14.858333333333334,3.65,38.625,0.2654166666666667,0.75,0.7645833333333334,61.625,34.875,2022,9,September,Friday,Rainy / Wet,Moderate
2022-09-17,35.625,24.575,634.8333333333334,16.587500000000002,4.291666666666667,41.0,0.2845833333333333,0.125,0.9520833333333332,75.91666666666667,56.083333333333336,2022,9,September,Saturday,Rainy / Wet,Moderate
2022-09-18,26.933333333333334,18.27083333333333,441.25,11.229166666666666,3.3375,42.208333333333336,0.34,0.6666666666666666,1.0604166666666666,68.95833333333333,43.91666666666666,2022,9,September,Sunday,Rainy / Wet,Moderate
2022-09-19,27.4,18.15833333333333,403.75,9.804166666666667,3.595833333333333,38.625,0.2770833333333333,0.375,1.03125,62.333333333333336,35.666666666666664,2022,9,September,Monday,Rainy / Wet,Moderate
2022-09-20,40.97083333333333,27.92083333333333,672.125,18.633333333333333,5.4125000000000005,42.5,0.2970833333333333,0.0,0.9520833333333334,74.54166666666667,53.41666666666666,2022,9,September,Tuesday,Rainy / Wet,Moderate
2022-09-21,30.2125,21.05,594.375,14.7,4.65,47.79166666666666,0.2266666666666666,0.0,1.1208333333333331,76.625,55.91666666666666,2022,9,September,Wednesday,Rainy / Wet,Moderate
2022-09-22,33.87083333333333,23.641666666666666,641.8333333333334,16.558333333333334,4.6625000000000005,46.208333333333336,0.2341666666666666,0.0,0.7083333333333334,70.0,45.583333333333336,2022,9,September,Thursday,Rainy / Wet,Moderate
2022-09-23,33.987500000000004,23.6125,605.7083333333334,15.316666666666668,4.791666666666667,54.708333333333336,0.2825,0.0,1.0520833333333333,76.625,57.75,2022,9,September,Friday,Rainy / Wet,Moderate
2022-09-24,26.370833333333334,18.2,506.2083333333333,13.158333333333331,4.266666666666667,44.625,0.2066666666666666,0.0,1.3041666666666667,67.5,42.29166666666666,2022,9,September,Saturday,Rainy / Wet,Moderate
2022-09-25,34.75833333333333,24.2625,616.0,17.970833333333335,4.2250000000000005,36.5,0.2245833333333333,0.0,0.6770833333333334,69.95833333333333,45.66666666666666,2022,9,September,Sunday,Rainy / Wet,Moderate
2022-09-26,27.829166666666666,19.2375,523.75,15.191666666666668,3.7541666666666655,31.70833333333333,0.1358333333333333,0.0,0.5791666666666667,71.83333333333333,49.04166666666666,2022,9,September,Monday,Rainy / Wet,Moderate
2022-09-27,28.22083333333333,19.375,522.5416666666666,14.483333333333334,3.8,33.875,0.1354166666666666,0.0,0.9354166666666668,64.41666666666667,37.625,2022,9,September,Tuesday,Rainy / Wet,Moderate
2022-09-28,38.15833333333333,26.558333333333334,726.625,19.72083333333333,5.241666666666666,30.58333333333333,0.1279166666666666,0.0,0.7041666666666666,74.0,52.708333333333336,2022,9,September,Wednesday,Rainy / Wet,Moderate
